Paper_id,Passive_vs_active,Explanation,Global_vs_local
craven1996etsro,2,1,1
krishnan1999edtft,2,1,1
boz2002edtft,2,1,1
johansson2009edtuo,2,1,1
craven1994usaqt,2,1,1
johansson2003reftn,2,1,1
zhou2003esrft,2,1,1
augasta2012retnn,2,1,1
lou2013aimwp,2,3,1
henelius2014apitb,2,3,1
krishnan2017pmlef,2,1,1
zien2009tfirm,2,3,1
vidovic2016fimfn-1,2,3,1
vidovic2016fimfn-2,2,3,3
xu2015saatn,2,3,3
fong2017ieobb,2,3,3
zhou2016ldffd,2,3,3
selvaraju2016wdyst,2,3,3
simonian2013,2,3,3
bach2015,2,3,3
sturm2016,2,3,3
montavon2017,2,3,3
shrikumar2017,2,3,3
landecker2013,2,3,3
zintgraf2017,2,3,3
bojarski2016,2,3,3
bojarski2016,2,3,3
lei2016,2,3,3
strumbelj2010,2,3,3
ribeiro2016,2,3,3
turner2016,2,1,3
ribeiro2018,2,1,3
singh2016,2,1,3
guidotti2018,2,1,3
haufe2014,2,3,3
olden2002,2,3,1
baehrens2010,2,3,3
datta2016-1,2,3,1
datta2016-2,2,3,2
datta2016-3,2,3,3
sundararajan2017,2,3,2.5
cortez2011,2,3,3
hooker2004,2,5,2
goldstein2015,2,5,2
krause2016,2,5,2
adler2016,2,5,2
adebayo2016,2,5,2
yosinski2015,2,2,1
shwartz2017,2,2,1
zeiler2014,2,2,1
springenberg2014,2,2,1
nguyen2016,2,2,1
mahendran2016,2,2,1
radford2017,2,2,1
thiagarajan2016,2,1,1
wu2018bstro,1,1,1
zhang2018icnn,1,2,1
li2019dlfcb,1,4,1
koh2017ubbpv,1,4,2
yeh2018rpsfe,1,4,2
